Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Post-demographic dividend,Urban population (% of total population),80.3973403223975,80.5651209310101,80.7392495943734,80.9153468063441,81.0949533599484,81.2782187539067,81.4712218561708,81.6607731908361,81.8469066551352,82.0723704214856
French Polynesia,Urban population (% of total population),61.583,61.633,61.683,61.734,61.784,61.834,61.897,61.975,62.066,62.17
Qatar,Urban population (% of total population),98.785,98.868,98.945,99.015,99.078,99.135,99.188,99.235,99.278,99.318
Romania,Urban population (% of total population),53.937,53.9,53.887,53.9,53.936,53.998,54.084,54.194,54.329,54.489
Russian Federation,Urban population (% of total population),73.863,73.95,74.05,74.164,74.292,74.433,74.587,74.754,74.934,75.126
Rwanda,Urban population (% of total population),16.947,16.967,17.004,17.056,17.125,17.211,17.313,17.432,17.568,17.721
South Asia,Urban population (% of total population),31.9857365713043,32.3733673194552,32.7696725975505,33.1754175262087,33.5915458577978,34.0190466389173,34.4563593747757,34.9031103407352,35.3623290791175,35.8381508036908
Saudi Arabia,Urban population (% of total population),82.74,82.96,83.18,83.401,83.622,83.844,84.065,84.287,84.508,84.729
Sudan,Urban population (% of total population),33.507,33.689,33.894,34.121,34.37,34.642,34.936,35.253,35.593,35.956
Senegal,Urban population (% of total population),45.019,45.436,45.862,46.296,46.74,47.192,47.653,48.122,48.6,49.086
Singapore,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Solomon Islands,Urban population (% of total population),21.433,21.896,22.36,22.823,23.286,23.749,24.21,24.67,25.128,25.584
Sierra Leone,Urban population (% of total population),40.036,40.432,40.829,41.228,41.636,42.055,42.484,42.923,43.372,43.831
El Salvador,Urban population (% of total population),68.036,68.874,69.7,70.501,71.275,72.023,72.746,73.444,74.118,74.767
San Marino,Urban population (% of total population),96.37,96.559,96.739,96.91,97.072,97.226,97.368,97.499,97.62,97.732
Somalia,Urban population (% of total population),42.117,42.679,43.245,43.816,44.391,44.971,45.554,46.141,46.731,47.324
Serbia,Urban population (% of total population),55.469,55.583,55.696,55.81,55.942,56.092,56.26,56.446,56.651,56.873
Sub-Saharan Africa (excluding high income),Urban population (% of total population),37.6098594085351,38.141810182227,38.6879285067328,39.2232301895469,39.7581495526378,40.2983875109116,40.8315569683194,41.3672671092139,41.9063131811326,42.4478415997651
South Sudan,Urban population (% of total population),18.415,18.626,18.852,19.092,19.346,19.615,19.899,20.199,20.514,20.846
Sub-Saharan Africa,Urban population (% of total population),37.6114270854122,38.1433506383947,38.6894512800178,39.2247236714653,39.7596127978553,40.2998165075392,40.8329525970643,41.3686297861541,41.9076431495083,42.4493969365686
Small states,Urban population (% of total population),52.6711442038184,52.9162736518593,53.1586988392447,53.3998020952066,53.6985827385128,53.8454781660129,53.9794629614373,54.1354357280538,54.3435493901779,54.598044210896
Sao Tome and Principe,Urban population (% of total population),68.208,69.213,70.174,71.092,71.968,72.803,73.598,74.354,75.073,75.755
